Size,MergeSort,Hybrid5,Hybrid30
64000,9768,6362,4650
64100,9651,6149,4722
64200,9580,6493,4864
64300,9521,6160,4669
64400,9400,5984,4703
64500,9503,6186,4690
64600,9787,6255,5124
64700,9828,6621,4908
64800,9590,6202,4790
64900,9621,6248,4804
65000,9742,6406,4746
65100,9674,6129,4919
65200,9824,6491,4978
65300,9769,6368,8046
65400,9587,6150,4831
65500,9892,6474,4891
65600,9981,6604,4921
65700,9596,6391,5056
65800,9666,6349,4990
65900,9870,6714,4964
66000,9822,6515,8702
66100,9885,6607,5137
66200,10006,6425,5011
66300,9989,6496,5072
66400,9834,6521,4969
66500,9898,6547,5015
66600,10169,6713,5073
66700,9970,6957,5043
66800,9962,6682,5050
66900,10090,6542,5019
67000,10161,6740,4964
67100,10150,6804,5074
67200,10273,7004,5140
67300,10036,6736,5048
67400,9931,6557,5037
67500,9860,6483,5027
67600,9915,6704,5236
67700,10959,6703,4874
67800,9934,6859,4900
67900,10224,6834,5046
68000,10101,6841,5040
68100,10106,6606,4941
68200,10212,6963,5044
68300,9965,6877,4951
68400,10292,7103,5141
68500,10331,6787,4948
68600,10558,6926,5012
68700,10267,6800,4964
68800,10012,6723,5031
68900,10127,6880,5068
69000,10299,6978,5227
69100,10657,7097,5236
69200,10399,7032,5457
69300,10426,6822,5324
69400,10172,7257,5212
69500,10581,6972,5091
69600,10506,7724,5168
69700,10500,7192,5378
69800,10562,7318,5218
69900,10523,7073,5104
70000,10419,7599,5179
70100,10479,7151,5159
70200,10490,7289,5117
70300,10390,7174,5111
70400,10376,7198,5123
70500,10441,7120,5148
70600,10500,7169,5218
70700,10646,7219,5233
70800,10492,7316,5243
70900,10638,7339,5173
71000,10576,7378,5163
71100,10418,7328,5074
71200,10760,7285,5355
71300,10715,7449,5114
71400,10788,7505,5204
71500,10870,7513,5299
71600,10819,7388,5369
71700,10717,7337,5177
71800,11018,7340,5192
71900,10590,7785,5194
72000,10567,7495,5123
72100,10859,7785,5391
72200,10797,7371,5217
72300,10854,7555,5462
72400,11441,7345,5274
72500,10803,7441,5352
72600,10888,7692,5254
72700,10980,7431,5271
72800,11102,7729,5382
72900,10851,7505,5456
73000,10976,7560,5375
73100,11216,7456,5346
73200,11160,7576,5330
73300,11020,7551,5362
73400,11220,7741,5389
73500,11238,7834,5476
73600,11097,7889,5408
73700,11236,7650,5322
73800,10994,7761,5387
73900,10938,7922,5351
74000,11315,7684,5332
74100,11010,7573,5403
74200,11373,7781,5379
74300,11158,7751,5382
74400,11327,8186,5361
74500,11166,7861,5452
74600,11276,7917,5554
74700,11222,7958,5677
74800,11213,7932,5456
74900,11482,7759,5558
75000,11333,7893,5498
75100,11500,8030,5545
75200,11145,7800,5289
75300,12465,7981,5506
75400,11378,7884,5504
75500,11507,7945,5456
75600,11374,8121,5477
75700,11269,8143,5537
75800,11472,8112,5416
75900,11421,8205,5592
76000,11360,8114,5525
76100,11460,8222,6451
76200,11389,8169,5627
76300,11306,8061,5614
76400,11680,8174,5636
76500,11669,8141,5600
76600,11582,10085,5715
76700,11499,8100,5531
76800,11753,8216,5597
76900,11448,8657,5670
77000,11662,8178,5513
77100,11735,8326,5613
77200,11619,8204,5579
77300,11707,8409,5576
77400,11907,8501,5575
77500,11562,8396,5573
77600,11682,8185,5629
77700,11832,8365,5610
77800,11969,8381,5708
77900,11807,8269,5749
78000,11696,8452,5744
78100,11981,8371,5731
78200,11793,8594,5665
78300,12099,8627,5775
78400,11644,8418,5999
78500,12078,8552,5688
78600,14179,8770,5892
78700,11720,11688,5781
78800,13070,9369,5806
78900,12115,8719,5881
79000,11874,8471,5659
79100,12242,8809,5998
79200,11869,8734,5654
79300,11931,8698,5790
79400,12080,8680,5713
79500,12007,8599,5641
79600,11827,8634,5738
79700,12006,8501,5839
79800,11963,8743,5718
79900,12303,8756,5821
80000,12128,8818,5745
80100,12198,8763,5811
80200,12110,8803,5783
80300,11986,8932,5749
80400,12008,8660,5744
80500,12091,9134,5942
80600,12068,8735,5817
80700,12014,8791,5846
80800,12141,8824,5704
80900,12391,9150,5850
81000,12181,8834,5796
81100,12074,8823,5867
81200,12336,8945,5927
81300,12129,11930,5872
81400,12066,9346,6054
81500,12258,8900,6010
81600,12297,8944,6170
81700,12319,9013,6257
81800,12448,8930,6021
81900,12282,9078,5981
82000,12368,8946,6031
82100,13641,9857,5994
82200,12300,9452,5829
82300,12163,8923,5921
82400,12524,9440,6051
82500,12354,8975,5917
82600,12529,9267,5881
82700,12456,9027,5926
82800,12365,8955,6009
82900,12807,9327,5928
83000,12637,9053,5903
83100,12630,9121,5953
83200,12592,9051,5979
83300,13761,9296,6015
83400,12530,9025,5969
83500,12606,9148,6046
83600,12614,9185,6133
83700,12611,11338,6814
83800,12675,9272,6005
83900,12729,9192,5964
84000,12712,9400,6185
84100,12845,9296,6261
84200,12410,9170,6071
84300,12773,9187,6140
84400,12646,9575,6085
84500,12695,9393,6220
84600,12828,9150,6235
84700,12679,9205,6077
84800,12642,9568,6182
84900,12875,9494,6340
85000,12817,9243,6223
85100,15258,9298,6251
85200,12887,9261,6174
85300,13719,9548,6383
85400,12941,9351,6072
85500,13213,9521,6295
85600,12914,9327,6215
85700,12822,9244,6301
85800,13243,9500,6540
85900,13144,9425,6364
86000,12992,9511,6367
86100,13511,9317,6341
86200,13039,9222,6247
86300,12938,9539,6186
86400,13145,9342,6225
86500,13248,9502,6320
86600,13106,9293,6557
86700,13015,9387,6219
86800,13227,13037,7214
86900,13232,9393,6284
87000,13184,9603,6324
87100,13167,9345,6474
87200,13131,9316,6296
87300,13368,9622,6233
87400,13060,10833,6594
87500,13348,9326,6197
87600,13303,9728,6477
87700,13450,9817,6412
87800,13452,9594,6384
87900,13486,9587,6369
88000,13519,9609,6466
88100,13478,9680,6456
88200,13692,9718,6867
88300,15089,11569,7146
88400,13633,9578,6416
88500,13321,9811,6638
88600,13576,9706,6616
88700,13282,9516,6384
88800,13556,9567,6805
88900,13562,9596,6386
89000,13473,9781,6674
89100,13507,9931,6746
89200,13735,9642,6549
89300,13310,9690,6393
89400,13685,9757,6653
89500,13633,9523,6361
89600,13506,9583,6506
89700,13716,9737,6678
89800,15084,9825,6648
89900,13518,9657,6483
90000,13637,9619,6458
90100,13913,9716,6601
90200,13509,9793,6397
90300,13558,9579,6463
90400,13501,9678,6525
90500,13489,9487,6484
90600,13806,9501,6776
90700,13839,9868,6810
90800,13656,9928,6771
90900,13807,9745,6672
91000,13745,9709,6488
91100,13869,10125,6587
91200,13883,9905,6472
91300,14868,9865,6731
91400,15113,9757,6710
91500,13870,9794,6479
91600,13573,9948,6888
91700,14222,9882,6508
91800,13844,9798,6761
91900,13787,9811,6722
92000,13883,9776,6583
92100,13863,10059,6857
92200,14000,10015,6559
92300,13829,9970,6638
92400,14033,9893,6599
92500,13993,9838,6688
92600,13922,9829,6667
92700,15766,10360,6641
92800,14114,9967,6828
92900,13969,10146,6597
93000,14004,9826,6545
93100,13999,9979,6615
93200,13956,9782,6615
93300,13821,9949,6616
93400,14115,9998,6686
93500,14060,9862,6666
93600,14381,9891,6621
93700,14017,10155,6745
93800,14378,9831,6612
93900,14111,9974,6871
94000,14202,10222,6959
94100,14417,10088,7094
94200,14330,9942,7673
94300,14057,10181,6693
94400,14329,9892,6713
94500,14404,10256,6798
94600,14342,10004,6923
94700,14578,10210,6718
94800,14460,11176,6738
94900,14831,10042,6729
95000,14262,10207,6834
95100,14395,10123,6923
95200,14473,10449,6844
95300,14486,10224,6825
95400,14310,10218,6827
95500,15722,12222,7737
95600,14865,10401,6948
