Size,MergeSort,Hybrid5,Hybrid30
71100,16015,12650,10643
71200,15971,12821,10997
71300,16420,12688,10716
71400,16107,12624,10716
71500,15985,12569,10879
71600,16301,12660,10807
71700,16461,13033,10720
71800,16058,12663,10953
71900,16131,12731,10774
72000,16019,12792,10942
72100,16318,12774,10856
72200,16311,13054,10802
72300,17044,12788,10904
72400,16420,13718,10933
72500,16367,13040,12424
72600,16336,13045,11032
72700,16390,13081,10980
72800,16577,12909,10891
72900,16517,13251,11025
73000,16563,13128,11112
73100,16548,13214,11101
73200,16464,12941,10975
73300,16587,12983,10989
73400,16570,13265,11165
73500,16681,13315,12075
73600,17348,13347,11089
73700,16670,13304,11098
73800,16672,13237,11220
73900,16873,13396,11063
74000,16624,13310,11117
74100,16738,13476,11203
74200,16554,13231,11116
74300,16583,13257,11198
74400,16796,13222,11154
74500,16776,13523,11096
74600,16720,13581,11348
74700,16767,13491,11226
74800,16807,13540,11293
74900,16835,13495,11387
75000,16845,13695,11209
75100,17051,13785,11221
75200,17034,14098,11376
75300,17163,13900,11516
75400,17486,14007,11787
75500,17446,13774,11360
75600,17137,15725,11305
75700,16997,15734,11529
75800,17222,14308,11397
75900,17032,14034,11454
76000,17236,13975,13570
76100,17157,13796,11500
76200,17122,14003,11481
76300,17570,13891,11511
76400,17517,13805,11550
76500,17244,13944,11446
76600,17495,13805,11731
76700,17306,14028,11540
76800,17506,14160,11613
76900,17319,14161,11580
77000,17639,14178,11583
77100,17307,19059,12067
77200,17403,14022,11625
77300,17395,14021,11604
77400,17513,14240,11602
77500,17364,14081,11669
77600,17822,14318,11633
77700,17401,14309,11632
77800,17361,14410,11878
77900,17655,14297,11664
78000,17517,14373,11827
78100,17594,14384,11699
78200,17613,14308,11837
78300,17877,14550,11993
78400,17661,14490,11776
78500,18020,14313,11788
78600,17790,14736,11798
78700,18245,14440,11905
78800,17732,14569,11846
78900,18595,14609,11853
79000,18034,14643,12064
79100,18137,14565,11981
79200,20040,14833,11952
79300,17842,14808,12268
79400,17927,15546,12020
79500,18183,14889,12251
79600,17836,14805,11988
79700,17811,14771,12077
79800,17917,14822,11939
79900,18189,14604,12039
80000,17982,14700,11955
80100,18524,14991,12054
80200,18291,14658,12044
80300,17942,15272,12024
80400,17959,15001,11977
80500,18298,14728,13652
80600,18174,14910,12004
80700,18156,14796,12186
80800,18136,14954,12344
80900,18273,14839,12017
81000,18451,15422,12212
81100,18034,15224,12216
81200,18967,15175,12273
81300,18542,15421,12507
81400,18260,15067,12273
81500,18694,15595,12431
81600,18282,15069,12346
81700,18486,15079,12212
81800,18746,15609,12619
81900,21181,14989,12357
82000,18669,15807,12328
82100,18407,15140,12478
82200,18733,15392,12369
82300,18407,15397,12496
82400,18593,15242,12405
82500,18781,15411,12477
82600,18659,15214,12408
82700,18677,15387,12421
82800,18766,15424,12506
82900,18916,15404,12411
83000,18566,15346,12425
83100,18673,15429,12574
83200,19081,15602,12515
83300,19138,15784,12486
83400,18992,15598,12526
83500,18911,15658,12491
83600,18805,15707,12651
83700,18924,15715,12561
83800,19289,15766,12965
83900,18934,15482,12879
84000,19270,15526,12827
84100,19150,15543,12698
84200,19115,15611,12785
84300,18836,15740,13778
84400,19134,15722,12902
84500,18915,15474,12722
84600,19605,15724,13135
84700,20430,15709,12683
84800,19221,15809,13045
84900,19640,15727,13069
85000,20453,15727,12707
85100,19152,15751,12797
85200,19069,15636,12868
85300,19667,15775,15405
85400,19219,16070,13076
85500,19485,15911,13435
85600,21174,16158,13119
85700,19965,16368,13173
85800,19685,16130,13115
85900,20265,16187,13341
86000,19836,16253,13202
86100,20129,16482,13073
86200,19890,15917,13006
86300,19431,15830,13015
86400,19541,15907,13120
86500,19500,16051,12996
86600,19618,15981,13018
86700,19565,16142,13195
86800,20077,16210,13608
86900,21534,16620,13407
87000,19582,15919,13206
87100,20562,16074,13260
87200,19754,16145,13482
87300,19792,16133,13212
87400,19688,15918,13160
87500,20038,16387,13512
87600,19792,16084,13346
87700,20555,16364,13671
87800,20440,16272,13564
87900,19830,16353,13243
88000,20365,17404,13570
88100,20640,16423,13527
88200,20078,17445,13627
88300,20430,16440,13670
88400,22274,16802,13683
88500,20611,17224,13641
88600,20464,16432,13371
88700,20598,16397,13641
88800,20154,16417,13510
88900,20694,16256,13286
89000,20052,16267,13407
89100,20386,16863,13989
89200,20615,16553,13628
89300,20558,16908,13949
89400,20301,16545,13563
89500,20375,16577,13605
89600,20342,16382,13584
89700,20184,16500,13792
89800,20134,16868,13512
89900,20569,16603,13669
90000,20292,16794,13667
90100,20543,16475,13972
90200,20403,16560,13676
90300,20385,16597,13846
90400,20275,16556,13600
90500,20329,16572,13714
90600,20800,16913,13753
90700,20462,16728,13649
90800,20911,16988,14082
90900,20759,16782,13795
91000,20539,16731,13790
91100,20727,16802,13690
91200,20922,16861,13791
91300,20665,16852,14643
91400,20655,16796,13986
91500,20584,16908,13687
91600,20660,17018,14026
91700,20827,17048,14007
91800,20877,17218,14160
91900,21378,17367,13895
92000,20946,16954,14070
92100,23055,17078,13875
92200,21238,17053,13877
92300,20861,17730,15715
92400,20815,19413,14251
92500,21027,17025,13969
92600,20872,16983,13954
92700,20966,16918,13971
92800,21848,16983,14028
92900,21388,17134,14176
93000,21085,17115,13979
93100,21155,17179,13989
93200,21121,17117,14069
93300,21024,17002,14197
93400,21031,17152,14136
93500,21139,17034,14246
93600,21164,17371,14281
93700,21326,17265,14167
