Size,MergeSort,Hybrid5,Hybrid30
49400,7169,4945,4172
49500,7313,5020,4196
49600,7232,5006,4217
49700,7414,5218,4188
49800,7305,5129,4119
49900,7265,4923,4219
50000,7322,5117,4222
50100,7216,5172,4202
50200,7446,5172,4183
50300,7379,5168,4428
50400,7483,5015,4287
50500,7492,5199,4436
50600,7377,5073,4279
50700,7531,5787,4429
50800,7503,5186,4391
50900,7486,5075,4426
51000,7637,5108,4310
51100,7545,5203,4408
51200,7424,5184,4346
51300,7472,5222,4376
51400,8961,5401,4514
51500,7557,5233,4395
51600,9312,5150,4372
51700,7630,5162,4386
51800,7698,5194,4436
51900,8693,5549,4533
52000,7606,5158,4468
52100,7701,5195,4410
52200,7545,5185,4454
52300,7747,5301,4614
52400,7650,5576,4564
52500,7859,5276,4489
52600,8026,5370,4600
52700,7927,5469,4644
52800,9699,5423,4593
52900,8198,5374,4712
53000,7877,5286,4493
53100,7858,5240,4520
53200,7994,5552,4702
53300,7761,5229,4612
53400,7901,5523,4516
53500,8074,5451,4660
53600,8039,5353,4642
53700,8168,5443,4666
53800,8034,5494,4600
53900,7872,5242,4535
54000,7934,11598,5243
54100,8097,5335,4599
54200,7936,5351,4567
54300,7840,5383,4624
54400,8126,5397,4691
54500,8099,5381,4665
54600,8105,5321,4667
54700,8229,5486,4852
54800,8063,5391,4715
54900,8174,5419,4885
55000,8072,5453,4725
55100,8168,5426,4797
55200,8081,5435,4724
55300,8257,5512,4747
55400,8201,5541,4779
55500,8232,5480,4792
55600,8166,5576,4791
55700,8268,5542,4795
55800,8232,5543,4796
55900,8490,5470,4833
56000,8425,5538,4814
56100,8401,5551,4897
56200,8246,5473,4873
56300,8339,5512,4895
56400,8882,5690,4874
56500,8616,5703,5055
56600,8472,5683,4947
56700,8390,5545,4962
56800,11816,5635,5039
56900,8472,5810,5131
57000,8442,5663,4967
57100,8521,5699,5098
57200,8453,5787,5119
57300,8597,6977,5044
57400,8623,5754,4995
57500,8585,5684,5037
57600,8521,5727,5113
57700,8675,5714,5151
57800,8584,6112,5178
57900,8812,5703,5070
58000,8586,5711,5041
58100,8684,5706,5170
58200,8838,5679,5141
58300,8653,5711,5068
58400,8656,5783,5119
58500,8610,7086,5166
58600,8601,5758,5288
58700,8669,5756,5124
58800,8800,5851,6075
58900,8716,5677,5317
59000,8999,5821,5308
59100,9179,5891,5288
59200,8779,5781,5261
59300,8866,5861,5283
59400,8694,5806,5303
59500,8731,5822,5226
59600,8753,5849,5257
59700,9078,6060,5277
59800,8759,6071,5218
59900,8959,6013,5099
60000,8849,6043,5234
60100,8914,5832,5163
60200,8919,5842,5093
60300,8876,5872,5197
60400,9124,5958,5159
60500,9001,6004,5095
60600,9051,5848,5072
60700,8992,5944,5014
60800,8931,5985,5130
60900,8962,5884,5041
61000,9049,6181,5160
61100,9215,6196,5079
61200,9247,5899,4958
61300,9264,5984,4900
61400,9093,5894,4881
61500,9048,7871,5035
61600,9294,6097,5150
61700,9288,6044,5075
61800,9266,6067,4996
61900,9161,6070,5039
62000,9442,6190,5160
62100,9437,6183,5262
62200,9420,6168,5195
62300,11287,6173,5076
62400,9886,6249,5166
62500,9358,5964,5087
62600,9230,6099,5100
62700,9358,6299,5105
62800,9217,6108,5169
62900,9170,6112,5021
63000,9247,6336,5106
63100,9511,6074,5116
63200,9421,6086,5071
63300,9689,6185,5204
63400,9532,6299,5302
63500,10472,6455,5288
63600,9438,6372,5175
63700,9487,6385,5111
63800,9475,6176,5229
63900,9700,6409,5291
64000,9480,6104,5368
64100,9752,6404,5228
64200,9733,6393,5264
64300,9461,6324,5186
64400,9607,6167,5203
64500,9489,6237,5225
64600,9752,6407,5409
64700,9718,6362,5280
64800,9536,6498,5415
64900,9702,6182,5246
65000,9629,6388,5380
65100,9673,6151,5347
65200,9880,6466,5468
65300,9806,6360,5436
65400,9907,6224,5226
65500,9949,6461,5445
65600,9843,6503,6470
65700,9897,6362,5379
65800,9831,6621,5348
65900,9902,6482,5471
66000,9851,6491,5421
66100,10080,6621,5446
66200,9952,6617,5764
66300,9901,6562,5476
